method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
vision_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,ood,force_budget_exceeded,0.8333333333333334,0.5999999999999999,1.0,3,10,0.05773502691896257,"[8.0, 8.0, 9.0]","[0.8, 0.8, 0.9]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,ood,intervention_force_budget_exceeded,0.8333333333333334,0.5999999999999999,1.0,3,10,0.05773502691896257,"[8.0, 8.0, 9.0]","[0.8, 0.8, 0.9]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,ood,full_episode_peak_normal_N,12.627420409520468,9.648223517735797,15.731636740366618,3,10,0.6023054212056982,,"[11.933250761032104, 13.011494350433349, 12.937516117095948]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,ood,native_shaped_return,34.17620492838032,29.27578795119929,39.88932089534182,3,10,12.455624116305513,,"[31.045397533880156, 47.89854516081881, 23.584672090441988]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,sustained_10cm_lift_within_force_budget,0.05,0.0,0.1,3,20,0.08660254037844387,"[0.0, 3.0, 0.0]","[0.0, 0.15, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,sustained_10cm_lift_success,0.05,0.0,0.1,3,20,0.08660254037844387,"[0.0, 3.0, 0.0]","[0.0, 0.15, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,force_budget_exceeded,0.08333333333333333,0.03333333333333333,0.15,3,20,0.14433756729740646,"[0.0, 5.0, 0.0]","[0.0, 0.25, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,intervention_force_budget_exceeded,0.08333333333333333,0.03333333333333333,0.15,3,20,0.14433756729740646,"[0.0, 5.0, 0.0]","[0.0, 0.25, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,full_episode_peak_normal_N,3.2097057600816092,2.4101423542698224,3.9480747329692036,3,20,3.124988461657558,,"[1.4678390502929688, 6.817421561479568, 1.3438566684722901]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,all,native_shaped_return,51.16373131695322,48.46272063428329,54.40661788185815,3,20,2.0687887815829615,,"[51.20437625488896, 53.211898155322615, 49.074919540648054]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,sustained_10cm_lift_within_force_budget,0.1,0.0,0.19999999999999998,3,10,0.17320508075688773,"[0.0, 3.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,sustained_10cm_lift_success,0.1,0.0,0.19999999999999998,3,10,0.17320508075688773,"[0.0, 3.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,force_budget_exceeded,0.06666666666666667,0.0,0.16666666666666666,3,10,0.11547005383792518,"[0.0, 2.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,intervention_force_budget_exceeded,0.06666666666666667,0.0,0.16666666666666666,3,10,0.11547005383792518,"[0.0, 2.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,full_episode_peak_normal_N,2.092030433813731,1.4168657861153284,2.7153596750895175,3,10,3.3905588879197928,,"[0.2721346139907837, 6.003956687450409, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,id,native_shaped_return,55.06184999146875,49.570098286933465,61.23091596332026,3,10,6.995405774430599,,"[51.32033557049825, 63.132325286446985, 50.73288911746103]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_rl,ood,force_budget_exceeded,0.1,0.0,0.19999999999999998,3,10,0.17320508075688773,"[0.0, 3.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_seed0_rl"", ""visuotactile_margin_seed1_rl"", ""visuotactile_margin_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
