group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
IQL_vision,id,force_violation,rate,0.5444444444444444,0.4,0.6888888888888889,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,force_violation,rate,0.3444444444444444,0.23333333333333334,0.4666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,force_violation,rate,0.6,0.45555555555555555,0.7444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,force_violation,rate,0.5111111111111111,0.3888888888888889,0.6333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,force_violation,rate,0.5,0.43333333333333335,0.5694444444444444,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,peak_N,mean,10.138304609391424,8.713288586793674,11.864684253575073,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,peak_N,mean,6.083271705442004,4.778184507464369,7.4805922904527815,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,peak_N,mean,10.708784382873112,9.0018630808923,12.612906760805176,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,peak_N,mean,7.315484319792854,5.684932112892469,9.009309938748673,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,peak_N,mean,8.56146125437485,7.776393287438485,9.450171461210898,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,max_height_m,mean,0.1285594914108515,0.11728680424495705,0.13933486859728061,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,max_height_m,mean,0.07743796358505885,0.0635796298024555,0.09152390960810913,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,max_height_m,mean,0.08040608729546268,0.06996365636819973,0.09138539719421208,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,max_height_m,mean,0.06297176099485821,0.04964250185630388,0.07663342230435874,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,max_height_m,mean,0.08734382582155781,0.08104085187498843,0.09374618045804607,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,setup_peak_N,mean,0.0,0.0,0.0,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,strict_longest,mean,25.011111111111113,21.488888888888887,28.44555555555555,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,strict_longest,mean,15.966666666666667,11.9,20.255555555555553,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,strict_longest,mean,10.4,7.366388888888888,13.378055555555553,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,strict_longest,mean,12.255555555555556,8.010833333333334,16.977777777777778,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,strict_longest,mean,15.908333333333333,14.010902777777778,17.845,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,strict_lift,rate,0.8333333333333334,0.7666666666666667,0.9,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,strict_lift,rate,0.7,0.6333333333333333,0.7666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,strict_lift,rate,0.5,0.4,0.5888888888888888,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,strict_lift,rate,0.45555555555555555,0.3555555555555555,0.5666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,strict_lift,rate,0.6222222222222222,0.5805555555555555,0.6638888888888889,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,joint_success,rate,0.2777777777777778,0.14444444444444443,0.41111111111111115,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,joint_success,rate,0.18888888888888886,0.08888888888888888,0.31111111111111106,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,joint_success,rate,0.01111111111111111,0.0,0.03333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,joint_success,rate,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,joint_success,rate,0.11944444444444445,0.07777777777777777,0.16388888888888886,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,force_violation,rate,0.5777777777777777,0.43333333333333335,0.7113888888888873,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,force_violation,rate,0.6666666666666666,0.5222222222222223,0.8,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,force_violation,rate,0.8555555555555556,0.8,0.9111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,force_violation,rate,0.9333333333333333,0.8777777777777778,0.9777777777777777,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,force_violation,rate,0.7583333333333333,0.7027777777777777,0.8111111111111111,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,peak_N,mean,8.095116627216338,7.236226275281774,8.950472759985262,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,peak_N,mean,9.17306254307429,8.240983001093069,10.160969811975956,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,peak_N,mean,10.806903244389428,9.714164080652926,11.98891872866286,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,peak_N,mean,10.633372126685249,9.693801470332676,11.546221072673797,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,peak_N,mean,9.677113635341327,9.211127202879224,10.161959879270029,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,max_height_m,mean,0.10793972859715319,0.0993803934442662,0.11594692252424363,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,max_height_m,mean,0.11333844808978029,0.10550365955581785,0.12210981042184156,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,max_height_m,mean,0.09220017849778135,0.0813033927920171,0.10190721643157304,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,max_height_m,mean,0.08874035144480229,0.077266638306723,0.09905940968022656,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,max_height_m,mean,0.10055467665737927,0.09575608842586916,0.10519092621713855,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,setup_peak_N,mean,0.0,0.0,0.0,120,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,strict_longest,mean,51.27777777777778,46.83305555555556,55.41166666666666,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,geometry_ood,strict_longest,mean,43.84444444444444,39.25555555555556,48.512777777777764,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,physics_ood,strict_longest,mean,27.055555555555554,21.088055555555556,32.88916666666666,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,combined_ood,strict_longest,mean,23.82222222222222,18.544444444444444,29.60083333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,strict_longest,mean,36.5,33.92736111111111,39.050486111111105,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,strict_lift,rate,0.45555555555555555,0.3444444444444444,0.5666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,geometry_ood,strict_lift,rate,0.31111111111111106,0.2,0.43333333333333335,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,physics_ood,strict_lift,rate,0.25555555555555554,0.15555555555555553,0.36666666666666664,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,combined_ood,strict_lift,rate,0.15555555555555553,0.05555555555555555,0.2777777777777778,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,all,strict_lift,rate,0.2944444444444444,0.24166666666666667,0.35,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,joint_success,rate,0.23333333333333334,0.13333333333333333,0.3444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,geometry_ood,joint_success,rate,0.07777777777777777,0.02222222222222222,0.14444444444444443,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,physics_ood,joint_success,rate,0.06666666666666667,0.01111111111111111,0.12222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,combined_ood,joint_success,rate,0.04444444444444444,0.0,0.12222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,all,joint_success,rate,0.10555555555555556,0.07222222222222222,0.14444444444444443,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,force_violation,rate,0.3555555555555555,0.2111111111111111,0.5222222222222223,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,geometry_ood,force_violation,rate,0.3222222222222222,0.17777777777777776,0.4777777777777778,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,physics_ood,force_violation,rate,0.4,0.24444444444444444,0.5666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,combined_ood,force_violation,rate,0.3222222222222222,0.16666666666666666,0.5,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,all,force_violation,rate,0.35,0.2722222222222222,0.4305555555555555,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,peak_N,mean,7.734730317195257,5.697501283064485,10.04606811478734,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,geometry_ood,peak_N,mean,5.7028632723622845,3.6351139942059914,7.839703766943679,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,physics_ood,peak_N,mean,8.75327883693907,6.367687525947889,11.343807958563165,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,combined_ood,peak_N,mean,5.571414964728885,3.4634852075907916,7.818203617400592,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,all,peak_N,mean,6.940571847806374,5.860574101805686,8.12925956223367,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,max_height_m,mean,0.09181910968489118,0.07607849451920225,0.10838114320507478,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,geometry_ood,max_height_m,mean,0.05891133125664459,0.03929974282677803,0.07916972894480245,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,physics_ood,max_height_m,mean,0.0549149432607616,0.03973683924912216,0.07222011377827989,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,combined_ood,max_height_m,mean,0.04221532578942263,0.024602659431531924,0.06102694251839742,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,all,max_height_m,mean,0.06196517749793,0.05341959821529195,0.0710473641657639,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
