seed,alpha,split,method,frame_joint_constraint_coverage,trajectory_joint_constraint_coverage,mean_normal_upper_margin_N,mean_g_upper_margin_N,q_N,trajectories,frames
43,0.1,test_sharp,trajectory_coordinate_box,0.9989955997704228,0.9802631578947368,0.3761518597602844,0.7233518480796283,0.3761518597602844,304,20908
43,0.1,test_id,trajectory_constraint,0.9927801843829834,0.8706896551724138,0.3418135643005371,0.3418135225772858,0.3418135225772858,116,9003
43,0.1,test_batch6,trajectory_constraint,0.9934002111932418,0.8888888888888888,0.3418135344982147,0.34181352257728576,0.3418135225772858,153,11364
43,0.1,test_flat,trajectory_constraint,0.925565350709084,0.6510067114093959,0.3418135643005371,0.34181352257728576,0.3418135225772858,298,13045
43,0.1,test_sharp,trajectory_constraint,0.9844078821503731,0.8388157894736842,0.3418135643005371,0.3418135225772857,0.3418135225772858,304,20908
43,0.05,test_id,point,0.3764300788626014,0.0,0.0,0.0,0.0,116,9003
43,0.05,test_batch6,point,0.4067229848644843,0.0,0.0,0.0,0.0,153,11364
43,0.05,test_flat,point,0.4818704484476811,0.04697986577181208,0.0,0.0,0.0,298,13045
43,0.05,test_sharp,point,0.5030132006887316,0.40789473684210525,0.0,0.0,0.0,304,20908
43,0.05,test_id,frame_constraint,0.9437965122736865,0.4482758620689655,0.1621350198984146,0.16213500499725342,0.16213500499725342,116,9003
43,0.05,test_batch6,frame_constraint,0.9363780359028511,0.3790849673202614,0.16213500499725342,0.16213500499725342,0.16213500499725342,153,11364
43,0.05,test_flat,frame_constraint,0.775469528555002,0.3288590604026846,0.1621350198984146,0.16213500499725342,0.16213500499725342,298,13045
43,0.05,test_sharp,frame_constraint,0.8935335756648173,0.6019736842105263,0.1621350198984146,0.16213500499725342,0.16213500499725342,304,20908
43,0.05,test_id,trajectory_coordinate_box,0.9990003332222592,0.9913793103448276,0.47481340169906616,0.9137179374203426,0.4748133718967438,116,9003
43,0.05,test_batch6,trajectory_coordinate_box,1.0,1.0,0.4748133718967438,0.915793178024128,0.4748133718967438,153,11364
43,0.05,test_flat,trajectory_coordinate_box,0.9996933691069375,0.9932885906040269,0.47481340169906616,0.8975821684094157,0.4748133718967438,298,13045
43,0.05,test_sharp,trajectory_coordinate_box,1.0,1.0,0.47481340169906616,0.9146487159381624,0.4748133718967438,304,20908
43,0.05,test_id,trajectory_constraint,0.996334555148284,0.9224137931034483,0.3978504538536072,0.3978504657745362,0.3978504657745361,116,9003
43,0.05,test_batch6,trajectory_constraint,0.996832101372756,0.9411764705882353,0.39785048365592957,0.39785046577453614,0.3978504657745361,153,11364
43,0.05,test_flat,trajectory_constraint,0.9569950172479877,0.7416107382550335,0.39785048365592957,0.39785046577453614,0.3978504657745361,298,13045
43,0.05,test_sharp,trajectory_constraint,0.9921561124928258,0.8914473684210527,0.39785051345825195,0.3978504657745362,0.3978504657745361,304,20908
