seed,alpha,split,method,assumed_mu,assumed_normal_ceiling_N,certification_coverage,true_constraint_valid_fraction,false_certificate_per_frame,violation_given_certification,valid_certificates_per_frame,trajectory_any_false_certificate,certified_frames,frames
17,0.05,test_id,frame_constraint,0.8,1.0,0.47728534932800176,0.801732755748084,0.009552371431744974,0.020013963230160577,0.4677329778962568,0.1896551724137931,4297,9003
17,0.05,test_id,frame_constraint,0.8,2.0,0.5049427968454959,0.8021770520937466,0.011329556814395202,0.02243730752309723,0.49361324003110074,0.2413793103448276,4546,9003
17,0.05,test_id,frame_constraint,0.8,3.0,0.5049427968454959,0.8021770520937466,0.011329556814395202,0.02243730752309723,0.49361324003110074,0.2413793103448276,4546,9003
17,0.05,test_batch6,frame_constraint,0.3,0.5,0.0,0.5665258711721225,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,frame_constraint,0.3,1.0,0.022615276311158044,0.744368180218233,0.0,0.0,0.022615276311158044,0.0,257,11364
17,0.05,test_batch6,frame_constraint,0.3,2.0,0.026751143963393172,0.744368180218233,0.0,0.0,0.026751143963393172,0.0,304,11364
17,0.05,test_batch6,frame_constraint,0.3,3.0,0.026751143963393172,0.744368180218233,0.0,0.0,0.026751143963393172,0.0,304,11364
17,0.05,test_batch6,frame_constraint,0.5,0.5,0.0,0.5732136571629708,0.0,,0.0,0.0,0,11364
17,0.05,test_batch6,frame_constraint,0.5,1.0,0.2335445265751496,0.7580077437521999,0.00017599436818021823,0.0007535795026375283,0.23336853220696938,0.013071895424836602,2654,11364
17,0.05,test_batch6,frame_constraint,0.5,2.0,0.24199225624780007,0.7580077437521999,0.00017599436818021823,0.0007272727272727272,0.24181626187961985,0.013071895424836602,2750,11364
17,0.05,test_batch6,frame_constraint,0.5,3.0,0.24199225624780007,0.7580077437521999,0.00017599436818021823,0.0007272727272727272,0.24181626187961985,0.013071895424836602,2750,11364
17,0.05,test_batch6,frame_constraint,0.8,0.5,0.13278775079197466,0.5875571981696586,0.0011439633931714186,0.008614976805831677,0.13164378739880322,0.0392156862745098,1509,11364
17,0.05,test_batch6,frame_constraint,0.8,1.0,0.4922562478000704,0.7864308342133052,0.010471664906722985,0.021272792277440115,0.4817845828933474,0.2222222222222222,5594,11364
17,0.05,test_batch6,frame_constraint,0.8,2.0,0.504047870468145,0.7864308342133052,0.01196761703625484,0.023743016759776536,0.49208025343189016,0.22875816993464052,5728,11364
17,0.05,test_batch6,frame_constraint,0.8,3.0,0.504047870468145,0.7864308342133052,0.01196761703625484,0.023743016759776536,0.49208025343189016,0.22875816993464052,5728,11364
17,0.05,test_flat,frame_constraint,0.3,0.5,0.0,0.33001149865848983,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,frame_constraint,0.3,1.0,0.00015331544653123802,0.5921809122269068,0.00015331544653123802,1.0,0.0,0.006711409395973154,2,13045
17,0.05,test_flat,frame_constraint,0.3,2.0,0.00030663089306247603,0.5921809122269068,0.00030663089306247603,1.0,0.0,0.006711409395973154,4,13045
17,0.05,test_flat,frame_constraint,0.3,3.0,0.00030663089306247603,0.5921809122269068,0.00030663089306247603,1.0,0.0,0.006711409395973154,4,13045
17,0.05,test_flat,frame_constraint,0.5,0.5,0.0,0.34495975469528556,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,frame_constraint,0.5,1.0,0.004522805672671521,0.6211575316213108,0.0038328861632809506,0.847457627118644,0.0006899195093905711,0.03691275167785235,59,13045
17,0.05,test_flat,frame_constraint,0.5,2.0,0.0055193560751245685,0.6211575316213108,0.004829436565733997,0.875,0.0006899195093905711,0.040268456375838924,72,13045
17,0.05,test_flat,frame_constraint,0.5,3.0,0.0055193560751245685,0.6211575316213108,0.004829436565733997,0.875,0.0006899195093905711,0.040268456375838924,72,13045
17,0.05,test_flat,frame_constraint,0.8,0.5,0.0,0.40505940973553084,0.0,,0.0,0.0,0,13045
17,0.05,test_flat,frame_constraint,0.8,1.0,0.032042928325028745,0.7471828286699885,0.0022997316979685703,0.07177033492822966,0.029743196627060178,0.016778523489932886,418,13045
17,0.05,test_flat,frame_constraint,0.8,2.0,0.03947872748179379,0.7488692985818322,0.00544269835185895,0.1378640776699029,0.03403602912993484,0.030201342281879196,515,13045
17,0.05,test_flat,frame_constraint,0.8,3.0,0.03947872748179379,0.7488692985818322,0.00544269835185895,0.1378640776699029,0.03403602912993484,0.030201342281879196,515,13045
17,0.05,test_sharp,frame_constraint,0.3,0.5,0.0,0.5160704036732351,0.0,,0.0,0.0,0,20908
17,0.05,test_sharp,frame_constraint,0.3,1.0,0.0006217715706906447,0.7304381098144251,4.7828582360818826e-05,0.07692307692307693,0.0005739429883298259,0.003289473684210526,13,20908
17,0.05,test_sharp,frame_constraint,0.3,2.0,0.0006696001530514636,0.7304381098144251,9.565716472163765e-05,0.14285714285714285,0.0005739429883298259,0.006578947368421052,14,20908
17,0.05,test_sharp,frame_constraint,0.3,3.0,0.0006696001530514636,0.7304381098144251,9.565716472163765e-05,0.14285714285714285,0.0005739429883298259,0.006578947368421052,14,20908
