run,variant,seed,split,method,windows,episodes,force_mae_N,force_mae_components_N,height_mae_m,rgb16_mse,substep_peak_mae_N,substep_peak_mae_by_horizon_N,substep_peak_underprediction_p95_N,support_accuracy,contact_accuracy,reward_mae,force_mae_by_horizon_N,height_mae_by_horizon_m,contact_forecasts,contact_phase_force_mae_N,contact_phase_height_mae_m
vision_seed2,vision,2,test_id,world_model,600,20,1.128882646560669,"[2.9787497520446777, 0.31898805499076843, 0.09411504119634628, 2.9635417461395264, 0.3260943591594696, 0.09180255979299545]",0.0033777710050344467,0.001200399361550808,3.0532877445220947,"[2.9454033374786377, 3.0051803588867188, 3.043980598449707, 3.1154253482818604, 3.156449556350708]",5.260315895080566,0.9713333333333334,0.983,0.03352002054452896,"[1.0850964784622192, 1.1067293882369995, 1.1269750595092773, 1.1529698371887207, 1.172642469406128]","[0.002595252823084593, 0.0029248506762087345, 0.003359817201271653, 0.0037886742502450943, 0.0042202589102089405]",1441,2.2556135654449463,0.006100209429860115
vision_seed2,vision,2,test_id,persistence_no_dynamics,600,20,1.0827745199203491,"[2.8117451667785645, 0.31926846504211426, 0.09542687237262726, 2.8536269664764404, 0.32252874970436096, 0.09405467659235]",0.005097262095659971,0.0012711788294836879,2.9338316917419434,"[2.895537853240967, 2.8928959369659424, 2.922698974609375, 2.9641799926757812, 2.9938430786132812]",4.371050834655762,0.951,0.9808333333333333,0.0426199696958065,"[1.0668967962265015, 1.0649832487106323, 1.0754730701446533, 1.0930382013320923, 1.1134817600250244]","[0.0031931339763104916, 0.004033339209854603, 0.0050137657672166824, 0.006067429203540087, 0.007178637199103832]",1441,2.169658899307251,0.009480827488005161
vision_seed2,vision,2,test_ood,world_model,600,20,0.7849237322807312,"[1.9809781312942505, 0.3345039188861847, 0.08853635936975479, 1.8570650815963745, 0.3460884988307953, 0.10236993432044983]",0.0026049772277474403,0.001341834431514144,1.929904818534851,"[1.9291574954986572, 1.920854926109314, 1.8903679847717285, 1.9150612354278564, 1.9940853118896484]",7.239964485168457,0.871,0.9466666666666667,0.061248261481523514,"[0.7785747647285461, 0.7757704257965088, 0.7691076397895813, 0.7891382575035095, 0.8120270371437073]","[0.002104633254930377, 0.0023211301304399967, 0.0025572257582098246, 0.0028516887687146664, 0.0031902091577649117]",717,2.562079668045044,0.005166242830455303
vision_seed2,vision,2,test_ood,persistence_no_dynamics,600,20,0.8703200817108154,"[2.1893813610076904, 0.3608463406562805, 0.09280946850776672, 2.099557399749756, 0.3621443212032318, 0.11717986315488815]",0.0027565339114516973,0.0013641213299706578,2.1877613067626953,"[2.0499136447906494, 2.0998198986053467, 2.169659376144409, 2.2666015625, 2.352816343307495]",7.773877143859863,0.8636666666666667,0.9425,0.055030763149261475,"[0.8170505166053772, 0.8387638330459595, 0.8619220852851868, 0.9052879214286804, 0.9285767078399658]","[0.002557081636041403, 0.0026312116533517838, 0.002729700179770589, 0.0028608550783246756, 0.003003828227519989]",717,2.778203010559082,0.006414848379790783
visuotactile_seed2,visuotactile,2,test_id,world_model,600,20,0.2596222460269928,"[0.5956345796585083, 0.11292645335197449, 0.06446261703968048, 0.6193124055862427, 0.10290037095546722, 0.06249697506427765]",0.002633611438795924,0.001070716418325901,0.5818105936050415,"[0.38947951793670654, 0.4796235263347626, 0.5831066966056824, 0.6859292387962341, 0.7709136009216309]",0.8267807960510254,0.977,0.9885,0.029527943581342697,"[0.17616592347621918, 0.21677371859550476, 0.2584598958492279, 0.3032595217227936, 0.3434521555900574]","[0.0023410108406096697, 0.002449971856549382, 0.0025796759873628616, 0.0027763943653553724, 0.0030210011173039675]",1441,0.4615497887134552,0.004723953083157539
visuotactile_seed2,visuotactile,2,test_id,persistence_no_dynamics,600,20,0.09496618807315826,"[0.18346743285655975, 0.05777698755264282, 0.04984928295016289, 0.17865419387817383, 0.05074987933039665, 0.04929908737540245]",0.004975139629095793,0.0012367998715490103,0.48446720838546753,"[0.4014253616333008, 0.4350259006023407, 0.49052125215530396, 0.530799150466919, 0.5645637512207031]",1.5468271970748901,0.944,0.9808333333333333,0.04077566787600517,"[0.04323679953813553, 0.06764732301235199, 0.09528354555368423, 0.12005404382944107, 0.14860931038856506]","[0.003042970085516572, 0.003879843046888709, 0.004881594330072403, 0.005970351863652468, 0.007100935094058514]",1441,0.19669222831726074,0.00939399003982544
visuotactile_seed2,visuotactile,2,test_id,shuffled_tactile_at_test,600,20,1.7366838455200195,"[4.594391345977783, 0.47773054242134094, 0.13486595451831818, 4.645095348358154, 0.43935588002204895, 0.12866412103176117]",0.018375270068645477,0.0017100099939852953,4.5559916496276855,"[4.497459888458252, 4.529150485992432, 4.554670333862305, 4.5936126708984375, 4.60506010055542]",17.641263961791992,0.801,0.799,0.16932159662246704,"[1.713875651359558, 1.7279034852981567, 1.734551191329956, 1.7505323886871338, 1.7565592527389526]","[0.01795448549091816, 0.018193615600466728, 0.01841200888156891, 0.018580269068479538, 0.018735945224761963]",1441,3.056135892868042,0.021334679797291756
visuotactile_seed2,visuotactile,2,test_ood,world_model,600,20,0.3724006712436676,"[0.8227476477622986, 0.18127743899822235, 0.08760561794042587, 0.8531532287597656, 0.20097564160823822, 0.08864398300647736]",0.002783857984468341,0.001103266840800643,0.7939700484275818,"[0.6964689493179321, 0.7453954815864563, 0.7779192328453064, 0.8271501660346985, 0.9229163527488708]",2.9032437801361084,0.8853333333333333,0.9553333333333334,0.04682546854019165,"[0.3184666037559509, 0.33962512016296387, 0.3652292490005493, 0.4043450951576233, 0.43433696031570435]","[0.0024353608023375273, 0.0026225512847304344, 0.0027794167399406433, 0.002949040150269866, 0.0031329209450632334]",717,1.024193525314331,0.006547997705638409
visuotactile_seed2,visuotactile,2,test_ood,persistence_no_dynamics,600,20,0.20291177928447723,"[0.4159816801548004, 0.1283862143754959, 0.06572762131690979, 0.4089376926422119, 0.1248544380068779, 0.07358285784721375]",0.002739280927926302,0.0012011979706585407,0.9369531273841858,"[0.7756633758544922, 0.8390855193138123, 0.9247506856918335, 1.024501085281372, 1.1207613945007324]",4.090776443481445,0.8786666666666667,0.9423333333333334,0.04915463179349899,"[0.11404695361852646, 0.15313737094402313, 0.20085671544075012, 0.2502571642398834, 0.29626086354255676]","[0.002606155350804329, 0.002635779557749629, 0.002700071083381772, 0.0028086055535823107, 0.0029457961209118366]",717,0.665485143661499,0.00719031598418951
visuotactile_seed2,visuotactile,2,test_ood,shuffled_tactile_at_test,600,20,1.1433632373809814,"[2.833320379257202, 0.43801191449165344, 0.10841302573680878, 2.9310364723205566, 0.4392445981502533, 0.11015359312295914]",0.008804816752672195,0.001421426422894001,2.8609933853149414,"[2.8023998737335205, 2.8116514682769775, 2.8594930171966553, 2.8877201080322266, 2.9437029361724854]",13.722319602966309,0.8233333333333334,0.8583333333333333,0.11329608410596848,"[1.1035969257354736, 1.1276893615722656, 1.1373200416564941, 1.1735247373580933, 1.1746844053268433]","[0.008671983145177364, 0.008646025322377682, 0.008761979639530182, 0.008904575370252132, 0.009039524011313915]",717,3.0556390285491943,0.019784629344940186
