method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
visuotactile_height_rl,id,native_shaped_return,105.4528636136112,101.07339288504488,108.63173030390135,3,10,2.9646914860719757,,"[102.79229152318275, 108.64873608708668, 104.91756323056418]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,force_budget_exceeded,0.7,0.4333333333333333,0.9333333333333332,3,10,0.10000000000000003,"[6.0, 7.0, 8.0]","[0.6, 0.7, 0.8]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,intervention_force_budget_exceeded,0.6,0.3,0.9,3,10,0.0,"[6.0, 6.0, 6.0]","[0.6, 0.6, 0.6]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,full_episode_peak_normal_N,10.87847967147827,8.64731927871704,13.141827254692712,3,10,0.61679004108266,,"[10.626893186569214, 10.427247667312622, 11.58129816055298]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,ood,native_shaped_return,47.02237518383478,43.841973101536254,50.434425284064694,3,10,5.014408291240879,,"[42.8063593228799, 45.69334977051151, 52.56741645811294]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,all,sustained_10cm_lift_within_force_budget,0.06666666666666667,0.016666666666666666,0.11666666666666665,3,20,0.11547005383792518,"[0.0, 4.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,all,sustained_10cm_lift_success,0.09999999999999999,0.05,0.15,3,20,0.17320508075688773,"[0.0, 6.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,all,force_budget_exceeded,0.09999999999999999,0.03333333333333333,0.16666666666666669,3,20,0.17320508075688773,"[0.0, 6.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,all,intervention_force_budget_exceeded,0.06666666666666667,0.016666666666666666,0.11666666666666665,3,20,0.11547005383792518,"[0.0, 4.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,all,full_episode_peak_normal_N,4.2258151789506275,3.6259628014763194,4.855039672156175,3,20,2.69282675631274,,"[3.7389110922813416, 7.12887419462204, 1.8096602499485015]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
