method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_id,interval_peak_mae_N_h5,2.6241258524082323,1.8930538480955144,3.3947215426133726,30,3,0.07018359346279725,2000,"[2.6155120397938623, 2.698218777841992, 2.5586467395888435]"
vision_world_model,test_id,joint_episode_coverage,0.9888888888888889,0.9666666666666667,1.0,30,3,0.01924500897298752,2000,"[1.0, 1.0, 0.9666666666666667]"
vision_world_model,test_id,peak_episode_coverage,0.9888888888888889,0.9666666666666667,1.0,30,3,0.01924500897298752,2000,"[1.0, 1.0, 0.9666666666666667]"
vision_world_model,test_physics_ood,contact_forecast_fraction,0.5797777777777777,0.49844444444444447,0.641561111111111,30,3,0.0,2000,"[0.5797777777777777, 0.5797777777777777, 0.5797777777777777]"
vision_world_model,test_physics_ood,contact_phase_endpoint_force_mae_N,2.081994646613738,1.7004996084118515,2.444251863156553,30,3,0.06329382715839901,2000,"[2.0368670031879423, 2.1543453180510657, 2.0547716186022056]"
vision_world_model,test_physics_ood,endpoint_force_mae_N,1.2304004838457214,0.9646069764556177,1.4910228751826358,30,3,0.04281819618997617,2000,"[1.198596129920161, 1.2790861967449525, 1.2135191248720512]"
vision_world_model,test_physics_ood,endpoint_force_mae_N_h1,1.1959237384116048,0.9289214935858624,1.4553685814668638,30,3,0.046294240203080865,2000,"[1.1574641431085075, 1.2473063170132055, 1.1830007551131012]"
vision_world_model,test_physics_ood,endpoint_force_mae_N_h2,1.2004614331416876,0.9336277620624952,1.4655738837263994,30,3,0.05600822441978604,2000,"[1.1541507399001987, 1.2627116767603352, 1.1845218827645294]"
vision_world_model,test_physics_ood,endpoint_force_mae_N_h3,1.2364020040503523,0.9698000619327416,1.5017914851187486,30,3,0.04511038531150238,2000,"[1.2003305614144644, 1.2869813135628485, 1.2218941371737444]"
vision_world_model,test_physics_ood,endpoint_force_mae_N_h4,1.2489713252049348,0.9854181821121931,1.5093484746039922,30,3,0.03849502601769866,2000,"[1.222724988005055, 1.2931623930868659, 1.2310265945228833]"
vision_world_model,test_physics_ood,endpoint_force_mae_N_h5,1.2702439184200283,1.0101409152889569,1.5256271829776995,30,3,0.030841646680514003,2000,"[1.25831021717258, 1.3052692833015074, 1.2471522547859974]"
vision_world_model,test_physics_ood,height_episode_coverage,0.9333333333333332,0.8666666666666667,0.9888888888888889,30,3,0.06666666666666665,2000,"[0.9333333333333333, 1.0, 0.8666666666666667]"
vision_world_model,test_physics_ood,height_mae_m,0.004663793004044069,0.003953103384279489,0.005350494364625814,30,3,0.0013674045464957272,2000,"[0.006238625759543437, 0.0037777787666224564, 0.003974974485966312]"
vision_world_model,test_physics_ood,height_mae_m_h1,0.004032176803750055,0.0033865354620804147,0.004661965880661565,30,3,0.0008643399005662835,2000,"[0.005007877594066991, 0.0033624213796833325, 0.003726231437499842]"
vision_world_model,test_physics_ood,height_mae_m_h2,0.004196475397787894,0.0035388588224490782,0.004832008365742325,30,3,0.0011681040141429935,2000,"[0.005532511227647774, 0.0033680729952821923, 0.003688841970433714]"
vision_world_model,test_physics_ood,height_mae_m_h3,0.004555004762177878,0.003861215816286926,0.00522988340180449,30,3,0.0014718004491870583,2000,"[0.006244759412365966, 0.0035528268367892857, 0.003867428037378381]"
vision_world_model,test_physics_ood,height_mae_m_h4,0.005005303383815636,0.004230029275569703,0.005736862323039936,30,3,0.0016226723957567355,2000,"[0.006878322693066568, 0.0040250363945961, 0.0041125510637842425]"
vision_world_model,test_physics_ood,height_mae_m_h5,0.005530004672688881,0.004698165840724228,0.006331568057820766,30,3,0.0017324825042180606,2000,"[0.007529657870569887, 0.004580536226761372, 0.004479819920735382]"
vision_world_model,test_physics_ood,interval_peak_mae_N,2.9770326157410936,2.255809151199129,3.693375851564937,30,3,0.14320454734287874,2000,"[2.8943812572956085, 3.142390980535083, 2.89432560939259]"
vision_world_model,test_physics_ood,interval_peak_mae_N_h1,2.927941497652619,2.182432248481998,3.6501301293737356,30,3,0.1583394013362155,2000,"[2.824096159272724, 3.11018483016226, 2.849543503522873]"
vision_world_model,test_physics_ood,interval_peak_mae_N_h2,2.9242003750801087,2.195423031851097,3.634124710097357,30,3,0.18034782647525557,2000,"[2.8020389372772643, 3.1313385342227087, 2.839223653740353]"
vision_world_model,test_physics_ood,interval_peak_mae_N_h3,2.9850682212688304,2.2675962640356135,3.7011126119185365,30,3,0.14697611969408175,2000,"[2.8879529314570958, 3.1541598660416073, 2.9130918663077883]"
vision_world_model,test_physics_ood,interval_peak_mae_N_h4,2.998042488716267,2.2743328370838256,3.706993420138403,30,3,0.13039796396967746,2000,"[2.929309242963791, 3.1484282251199085, 2.916389998065101]"
vision_world_model,test_physics_ood,interval_peak_mae_N_h5,3.049910495987645,2.3345682468568834,3.754006322868444,30,3,0.10882216952346656,2000,"[3.028509015507168, 3.1678434471289316, 2.953379025326835]"
vision_world_model,test_physics_ood,joint_episode_coverage,0.9111111111111111,0.8333333333333334,0.9777777777777779,30,3,0.0838870492807861,2000,"[0.9, 1.0, 0.8333333333333334]"
vision_world_model,test_physics_ood,peak_episode_coverage,0.9666666666666668,0.9111111111111111,1.0,30,3,0.033333333333333326,2000,"[0.9666666666666667, 1.0, 0.9333333333333333]"
visuotactile_persistence,test_combined_ood,contact_forecast_fraction,0.3397777777777778,0.23154999999999998,0.44889444444444443,30,3,0.0,2000,"[0.3397777777777778, 0.3397777777777778, 0.3397777777777778]"
