comparison,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N_h1,-1.4613636672717554,-2.168943915743519,-0.7972432401263053,30,3,0.05026153863230027,2000,"[-1.4047425288624233, -1.4786398683653939, -1.500708604587449]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N_h2,-1.392728657413412,-2.1383225713261855,-0.689498391472631,30,3,0.02796675553871658,2000,"[-1.3657112032837337, -1.4215567282835642, -1.390918040672938]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N_h3,-1.4056783664668047,-2.15493106090581,-0.6959345267415048,30,3,0.007871216563117936,2000,"[-1.4135243520471785, -1.405728588104248, -1.3977821592489879]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N_h4,-1.3328564831062597,-2.0600906313105867,-0.634313302380068,30,3,0.04241226743989437,2000,"[-1.3801413689719306, -1.2981729756461249, -1.3202551047007243]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N_h5,-1.2786047233475581,-2.001236603055839,-0.5876475995492054,30,3,0.08131132517947341,2000,"[-1.372414333820343, -1.228331040011512, -1.2350687962108189]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,joint_episode_coverage,-0.2777777777777778,-0.39999999999999997,-0.15555555555555556,30,3,0.2219442706159798,2000,"[-0.4666666666666667, -0.3333333333333333, -0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,peak_episode_coverage,-0.19999999999999998,-0.3444444444444444,-0.07777777777777778,30,3,0.03333333333333334,2000,"[-0.23333333333333334, -0.2, -0.16666666666666666]"
visuotactile_world_model minus vision_world_model,test_physics_ood,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus vision_world_model,test_physics_ood,contact_phase_endpoint_force_mae_N,-1.4142488510358426,-1.7339465127363387,-1.093322038422048,30,3,0.08069364402069282,2000,"[-1.3405275552619789, -1.4017603135454544, -1.5004586843000953]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N,-0.8281834413309074,-1.04051599654303,-0.6073702416351716,30,3,0.04864753162468616,2000,"[-0.7796423594813354, -0.8279712360284067, -0.8769367284829798]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N_h1,-0.8740130740803534,-1.084406327359888,-0.6566211513254615,30,3,0.06269982175347023,2000,"[-0.8079281062351678, -0.8814459813451309, -0.9326651346607616]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N_h2,-0.8387556943868898,-1.0535468587774628,-0.6176678720951604,30,3,0.06649832862194406,2000,"[-0.7666705300697962, -0.8518892276008544, -0.8977073254900191]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N_h3,-0.8319530905245222,-1.0492248992595927,-0.608909979047358,30,3,0.05401798129226403,2000,"[-0.7785467741877289, -0.8307498635025695, -0.8865626338832684]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N_h4,-0.8072324745409353,-1.0230702431138021,-0.5862890858284768,30,3,0.04135655484531367,2000,"[-0.7695290294194732, -0.800703056501742, -0.8514653377015903]"
visuotactile_world_model minus vision_world_model,test_physics_ood,endpoint_force_mae_N_h5,-0.7889628731218356,-1.0074477009588794,-0.5674420004194408,30,3,0.023661269942463634,2000,"[-0.775537357494511, -0.7750680511917367, -0.8162832106792592]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_episode_coverage,-0.0888888888888889,-0.16666666666666666,-0.022222222222222216,30,3,0.13877773329774218,2000,"[0.06666666666666667, -0.2, -0.13333333333333333]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m,-0.0020136512088124786,-0.0026033156447662974,-0.0014428244046218932,30,3,0.0021254067768863025,2000,"[-0.004363693118008086, -0.0002259874251515915, -0.001451273083277758]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m_h1,-0.0019286187975861445,-0.0024618145748633346,-0.0014067888593218177,30,3,0.0011029190319307815,2000,"[-0.003191078297289399, -0.001152208471547864, -0.00144256962392117]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m_h2,-0.0018911182525173193,-0.0024368469528220616,-0.0013598911136202035,30,3,0.0016859960305955434,2000,"[-0.003776101247705002, -0.0005270678075935899, -0.0013701857022533658]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m_h3,-0.0019463994383032617,-0.002531151069083232,-0.001373117095089819,30,3,0.002270289296373964,2000,"[-0.004444529885270943, -9.059784319510476e-06, -0.0013856086453193307]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m_h4,-0.002067974411507344,-0.00270291711467952,-0.001478931842143572,30,3,0.0026314750864370323,2000,"[-0.004951269595185295, 0.00020410547340159407, -0.0014567591127383317]"
visuotactile_world_model minus vision_world_model,test_physics_ood,height_mae_m_h5,-0.0022341451441483247,-0.0029097997574861908,-0.001621066604923221,30,3,0.0029561479112344934,2000,"[-0.005455486564589794, 0.00035429346430141274, -0.0016012423321565923]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N,-2.188333068591577,-2.808094831830925,-1.5579652423066124,30,3,0.06650108623648744,2000,"[-2.1129490225315095, -2.238687187433243, -2.213362995809979]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N_h1,-2.293238365650177,-2.9001082131674996,-1.6642980540781112,30,3,0.10773930613002812,2000,"[-2.168832042614619, -2.3556827261712816, -2.3552003281646305]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N_h2,-2.2169508790969847,-2.838888475570414,-1.5785513571478704,30,3,0.11854012737059137,2000,"[-2.0813663510481515, -2.30100317425198, -2.2684831119908226]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N_h3,-2.205889698090377,-2.8361791101804488,-1.567486876711802,30,3,0.07855199990149257,2000,"[-2.11525774386194, -2.2543367042806413, -2.2480746461285483]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N_h4,-2.136353773894133,-2.771542204250892,-1.492074544735529,30,3,0.043952978158355055,2000,"[-2.088271217611101, -2.174463283088472, -2.1463268209828272]"
visuotactile_world_model minus vision_world_model,test_physics_ood,interval_peak_mae_N_h5,-2.089232626226213,-2.7264907839993633,-1.441546698373777,30,3,0.03510976211305438,2000,"[-2.1110177575217355, -2.1079500493738386, -2.0487300717830657]"
visuotactile_world_model minus vision_world_model,test_physics_ood,joint_episode_coverage,-0.2222222222222222,-0.35555555555555557,-0.09999999999999999,30,3,0.12619796324000607,2000,"[-0.13333333333333333, -0.36666666666666664, -0.16666666666666666]"
visuotactile_world_model minus vision_world_model,test_physics_ood,peak_episode_coverage,-0.14444444444444446,-0.28888888888888886,-0.011111111111111113,30,3,0.09622504486493764,2000,"[-0.2, -0.2, -0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_combined_ood,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus vision_world_model,test_combined_ood,contact_phase_endpoint_force_mae_N,-1.1726831310452468,-1.468269075553781,-0.8668292328702806,30,3,0.0668037807909419,2000,"[-1.2090767389636954, -1.0955849340212325, -1.2133877201508125]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N,-0.4112680214746786,-0.5731978500875632,-0.24686963035723725,30,3,0.018108679611693296,2000,"[-0.41899226109899096, -0.390578056614846, -0.4242337467101989]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N_h1,-0.4283191850999037,-0.5887511817736293,-0.27086725545761586,30,3,0.018883178941222118,2000,"[-0.4132152053975086, -0.4222521883959848, -0.4494901615062177]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N_h2,-0.42256333246989525,-0.5876084861411209,-0.2575564128495009,30,3,0.019184993671236168,2000,"[-0.41968237049084295, -0.4049817466494817, -0.4430258802693613]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N_h3,-0.41428744367690307,-0.5849504806048673,-0.24499893954111432,30,3,0.018567064834523736,2000,"[-0.42470428956586315, -0.3928508696404579, -0.4253071718243882]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N_h4,-0.4024365907072745,-0.5758061073371942,-0.23522118068240264,30,3,0.024064013434735226,2000,"[-0.4183740189316234, -0.37475555738141003, -0.41418019580879006]"
visuotactile_world_model minus vision_world_model,test_combined_ood,endpoint_force_mae_N_h5,-0.3887335554194165,-0.55927729689494,-0.22599215758860802,30,3,0.030470044492081943,2000,"[-0.41898542110911674, -0.3580499210068956, -0.3891653241422372]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_episode_coverage,-0.14444444444444446,-0.2555555555555556,-0.044444444444444446,30,3,0.1539600717839002,2000,"[-0.23333333333333334, -0.23333333333333334, 0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m,-0.0009502755493681265,-0.001922692766974756,-0.0001922291974122754,30,3,0.001476617978444343,2000,"[-0.0022090342578012494, 0.0006751186339162005, -0.0013169110242193306]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m_h1,-0.0007462074522967062,-0.0015495405095396022,-0.00013193911331715473,30,3,0.0009633625600244485,2000,"[-0.001537041306728497, 0.00032670765430440143, -0.0010282887044660229]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m_h2,-0.0007270891779572359,-0.001578320555917108,-6.539364545622294e-05,30,3,0.0012486712287241228,2000,"[-0.0017456006168504246, 0.0006659966575615626, -0.0011016635745828454]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m_h3,-0.000885875442381129,-0.00185754605583659,-0.00011972386232176847,30,3,0.0015000291629176708,2000,"[-0.0021489143894157475, 0.0007721122251435493, -0.0012808241628711888]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m_h4,-0.0010937116954247124,-0.0021783351803662497,-0.00022972661186644553,30,3,0.0017067210944996655,2000,"[-0.0025661955528064736, 0.0007768760190487632, -0.0014918155525164266]"
visuotactile_world_model minus vision_world_model,test_combined_ood,height_mae_m_h5,-0.0012984939787808495,-0.002532467781133838,-0.00034665010059715907,30,3,0.001968869662371713,2000,"[-0.0030474194232051055, 0.0008339006135227262, -0.0016819631266601694]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N,-1.0216052328480616,-1.4459321380796253,-0.6019622378457478,30,3,0.0197507740738838,2000,"[-1.0312295832633973, -1.034698978053199, -0.9988871372275883]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N_h1,-1.0343267598858585,-1.44766241284653,-0.6445153927637476,30,3,0.06975037893771278,2000,"[-0.9631217894289229, -1.1025253261460197, -1.037333164082633]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N_h2,-1.045018455143328,-1.4717065526611275,-0.6299304398783936,30,3,0.025569173139939103,2000,"[-1.022238062090344, -1.0726743482218848, -1.0401429551177555]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N_h3,-1.037708689548351,-1.4942352359118285,-0.5960716877921868,30,3,0.02511569839919194,2000,"[-1.0568178129196166, -1.0470467020405663, -1.0092615536848704]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N_h4,-1.013984390806269,-1.482519147867406,-0.5807835082522146,30,3,0.03648431697181213,2000,"[-1.0548421459727817, -1.002448671658834, -0.9846623547871908]"
visuotactile_world_model minus vision_world_model,test_combined_ood,interval_peak_mae_N_h5,-0.9769878688565007,-1.4494352640619985,-0.5449474057444821,30,3,0.0722925459344653,2000,"[-1.0591281059053208, -0.9487998421986897, -0.9230356584654914]"
visuotactile_world_model minus vision_world_model,test_combined_ood,joint_episode_coverage,-0.15555555555555556,-0.26666666666666666,-0.04444444444444445,30,3,0.1644294287438749,2000,"[-0.23333333333333334, -0.26666666666666666, 0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_combined_ood,peak_episode_coverage,-0.19999999999999998,-0.3444444444444444,-0.07777777777777778,30,3,0.03333333333333334,2000,"[-0.23333333333333334, -0.2, -0.16666666666666666]"
visuotactile_world_model minus visuotactile_persistence,test_id,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus visuotactile_persistence,test_id,contact_phase_endpoint_force_mae_N,0.13481338566394493,0.09285618467520788,0.18164281328331447,30,3,0.02088404791952572,2000,"[0.11378901378872494, 0.15555422243851239, 0.1350969207645975]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N,0.08226771073084164,0.060474094835223695,0.10687598394834216,30,3,0.01168074191171853,2000,"[0.07100640649455427, 0.09432697092395069, 0.08146975477401995]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N_h1,0.08652308241737271,0.06526789731440569,0.10940674636479003,30,3,0.009514015293725175,2000,"[0.08063532753390501, 0.09749922254364247, 0.08143469717457062]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N_h2,0.08298436432168532,0.06116303597509798,0.1069764086276632,30,3,0.009995905609698867,2000,"[0.07398742995052426, 0.09374458109494299, 0.0812210819195887]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N_h3,0.08728988609906217,0.06288296700333731,0.11194105061377976,30,3,0.012169716219837243,2000,"[0.07503059687084276, 0.09936800644948596, 0.08747105497685778]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N_h4,0.0756822330870861,0.052114770770994204,0.10107420569267639,30,3,0.013261129359087935,2000,"[0.062122213358438955, 0.08862275840041953, 0.07630172750239984]"
visuotactile_world_model minus visuotactile_persistence,test_id,endpoint_force_mae_N_h5,0.07885898772900189,0.04793906083724743,0.11444398805037656,30,3,0.014680840101387765,2000,"[0.06325646475906035, 0.0924002861312625, 0.0809202122966828]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m,-0.002099060879480223,-0.0025765059367892614,-0.0015677022452327814,30,3,0.0002018673485752339,2000,"[-0.0023248249379960017, -0.0020364119949841148, -0.0019359457054605527]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m_h1,-0.0005184781276060406,-0.000717681511225237,-0.00030669566484209143,30,3,0.00011798114033906579,2000,"[-0.0006544947907483826, -0.00045711434164938207, -0.0004438252504203572]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m_h2,-0.0012504654904235697,-0.0015822574387110999,-0.000896161660052409,30,3,0.0002097110745363184,2000,"[-0.0014901383936052701, -0.0011605691355847133, -0.0011006889420807258]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m_h3,-0.0020573494273574194,-0.002527764558553355,-0.0015280573016918627,30,3,0.0002404250668710471,2000,"[-0.002325033716107201, -0.00198724937227477, -0.001859765193690287]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m_h4,-0.0028986878179232552,-0.0035651258380742174,-0.002184330716515062,30,3,0.00022104501596728919,2000,"[-0.0031377861772812644, -0.0028565006444114262, -0.0027017766320770738]"
visuotactile_world_model minus visuotactile_persistence,test_id,height_mae_m_h5,-0.003770323534090831,-0.004611563301886674,-0.0028447754274020555,30,3,0.00022564219280579096,2000,"[-0.004016671612237891, -0.0037206264810002825, -0.0035736725090343194]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N,0.0036087355437102154,-0.06594062839371187,0.062418787878972454,30,3,0.026369019712519596,2000,"[-0.005864564948611789, 0.033405665795008345, -0.01671489421526591]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N_h1,-0.007231526816332781,-0.050008632281312235,0.02649890429002265,30,3,0.02132327449653584,2000,"[-0.0022677471902635363, 0.011172049707836576, -0.030598882966571383]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N_h2,-0.0016361339003951464,-0.06463999716882353,0.050915485663546416,30,3,0.023256614576275262,2000,"[-0.007883000506295099, 0.024105933639738293, -0.021131334834628635]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N_h3,0.029472578322445906,-0.04804269169767698,0.09798960498085718,30,3,0.02560285971181124,2000,"[0.017874689102172853, 0.05882196134991116, 0.011721084515253702]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N_h4,0.002589328642244692,-0.08074448906271546,0.07604968025507748,30,3,0.029751190860600678,2000,"[-0.013018720149993897, 0.03689665410253737, -0.016109948025809395]"
visuotactile_world_model minus visuotactile_persistence,test_id,interval_peak_mae_N_h5,-0.005150568529411598,-0.10365035952130953,0.08052445604183052,30,3,0.03570606343827434,2000,"[-0.024028045998679266, 0.03603173017501831, -0.02745538976457384]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,contact_phase_endpoint_force_mae_N,0.6308465783854765,0.38064124102197994,0.8972720792680984,30,3,0.11954670781132047,2000,"[0.5102413339313235, 0.7493058563463616, 0.6329925448787446]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N,0.33726319040934105,0.20853979676074044,0.48223367646433024,30,3,0.060612380078441344,2000,"[0.275642964671685, 0.39681476207558686, 0.3393318444807514]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h1,0.34487590248929334,0.20501753145639526,0.5040440253421122,30,3,0.05048222003042656,2000,"[0.2943384196471285, 0.3953026776209784, 0.3449866101997732]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h2,0.3233918924689046,0.1975019294043344,0.45596675322023944,30,3,0.055886424215939784,2000,"[0.267007175075468, 0.37876632512973935, 0.3244021772015064]"
visuotactile_world_model minus visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h3,0.33212239458847986,0.20375429474406898,0.4730893527242773,30,3,0.06253562319971817,2000,"[0.26953493382790367, 0.39460605099680834, 0.3322261989407276]"
