method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_geometry_ood,0,contact_phase_endpoint_force_mae_N,2.1817942369514576,1.7065005296247113,2.7275686162434916,30,1,,2000,[2.1817942369514576]
vision_world_model,test_geometry_ood,1,contact_phase_endpoint_force_mae_N,2.3844054879570353,1.8924666378933264,2.9509641449449178,30,1,,2000,[2.3844054879570353]
vision_world_model,test_geometry_ood,2,contact_phase_endpoint_force_mae_N,2.2748307067994533,1.775894556377254,2.8496269112765096,30,1,,2000,[2.2748307067994533]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N,1.1056388862085424,0.788746738419085,1.458730125604419,30,1,,2000,[1.1056388862085424]
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N,1.2164068431619175,0.8824206607993641,1.5773195504765591,30,1,,2000,[1.2164068431619175]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N,1.154524732696203,0.822227353917365,1.5184248483423093,30,1,,2000,[1.154524732696203]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N_h1,1.0826469247703683,0.7801093396504702,1.430000358110802,30,1,,2000,[1.0826469247703683]
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N_h1,1.2034762025362364,0.8736199963141872,1.5731871107899653,30,1,,2000,[1.2034762025362364]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N_h1,1.1565135647982565,0.8261141669110877,1.5248939703456381,30,1,,2000,[1.1565135647982565]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N_h2,1.074904255606234,0.7656341009226162,1.4188375344845312,30,1,,2000,[1.074904255606234]
vision_world_model,test_geometry_ood,1,endpoint_force_mae_N_h2,1.1979357104673465,0.8620898811242014,1.560080940714276,30,1,,2000,[1.1979357104673465]
vision_world_model,test_geometry_ood,2,endpoint_force_mae_N_h2,1.1329700222466554,0.8002923704009348,1.49104356472421,30,1,,2000,[1.1329700222466554]
vision_world_model,test_geometry_ood,0,endpoint_force_mae_N_h3,1.1097244520982106,0.7901285355979559,1.4631199330046891,30,1,,2000,[1.1097244520982106]
