method,domain,training_seed,environment_seed,episode_id,windows,endpoint_force_mae_N,endpoint_force_mae_N_h1,endpoint_force_mae_N_h2,endpoint_force_mae_N_h3,endpoint_force_mae_N_h4,endpoint_force_mae_N_h5,interval_peak_mae_N,interval_peak_mae_N_h1,interval_peak_mae_N_h2,interval_peak_mae_N_h3,interval_peak_mae_N_h4,interval_peak_mae_N_h5,height_mae_m,height_mae_m_h1,height_mae_m_h2,height_mae_m_h3,height_mae_m_h4,height_mae_m_h5,contact_phase_endpoint_force_mae_N,contact_forecast_fraction,peak_episode_coverage,height_episode_coverage,joint_episode_coverage,contact_force_error_sum,contact_force_component_count
vision_world_model,test_geometry_ood,0,20351005,geometry_ood_005,30,0.0524419154971838,0.06378072982447015,0.05469212132609553,0.05029863061176406,0.047276522198485,0.046161573525104256,0.16056999683380127,0.1937050978342692,0.16290652751922607,0.15115216573079426,0.14717968304951987,0.14790651003519695,0.0005773011692023525,0.0006411520764231682,0.000547010488420104,0.0005489340905720989,0.000577501265797764,0.0005719079247986277,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351006,geometry_ood_006,30,0.795097002596077,0.8387755431959198,0.7731830744279755,0.8205778439425759,0.7843892758505212,0.7585592755633924,2.275794827143351,2.417473344008128,2.2378104170163473,2.363902799288432,2.208838629722595,2.1509489456812543,0.002795506393692146,0.0019009471133661767,0.0016353379158924022,0.0025859636448634167,0.0034014351200312375,0.004453848174307495,1.1655998187094825,0.6466666666666666,1.0,1.0,1.0,678.3790944889188,582
vision_world_model,test_geometry_ood,0,20351007,geometry_ood_007,30,0.03596804399043321,0.048961032492419086,0.037385795244740117,0.03269393321954542,0.030484510771930217,0.030314948223531247,0.12418372790018717,0.14357802867889405,0.1271271308263143,0.11955637137095133,0.11604750156402588,0.11460960706075032,0.0010197937744669617,0.001487194886431098,0.0010254994112377366,0.000869418327541401,0.0008498697308823467,0.000866986516242226,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351008,geometry_ood_008,30,1.7064693490726253,1.5572472442872822,1.6032575183444553,1.7278954094896715,1.7859632161342436,1.8579833571074738,4.845312595367432,4.21932776371638,4.565760258833567,4.973563901583353,5.113210622469584,5.354700430234273,0.008519232491962611,0.008549551607575267,0.008071270930425574,0.008091437649757912,0.008528867651087542,0.009355034620966762,2.5807624790798296,0.6466666666666666,1.0,1.0,1.0,1502.0037628244609,582
vision_world_model,test_geometry_ood,0,20351009,geometry_ood_009,30,1.5093323900757565,1.6240846446404855,1.4162870714440943,1.4786747380884158,1.5050837990517418,1.522531697154045,2.4333261108398436,2.7227840662002563,2.1813285032908123,2.371815737088521,2.392440406481425,2.498261841138204,0.006419506630239388,0.005662152543663979,0.00571255919833978,0.00624368484908094,0.0068243878233867385,0.0076547487367254995,2.2448618477086226,0.6666666666666666,1.0,1.0,1.0,1346.9171086251736,600
vision_world_model,test_geometry_ood,0,20351010,geometry_ood_010,30,1.7240546145786841,1.7258565973490476,1.6791233480390575,1.7286018831034502,1.7351835489686993,1.7515076954331663,4.819584592183431,4.686925840377808,4.685482327143351,4.85477286974589,4.903231728076935,4.967510195573171,0.010492766860794896,0.008084372240894784,0.0090243797050789,0.010407341143582017,0.011778110809003314,0.01316963040541547,2.664416505896952,0.64,1.0,1.0,1.0,1534.7039073966444,576
vision_world_model,test_geometry_ood,0,20351011,geometry_ood_011,30,2.210115788653493,2.466818889975548,2.2213314446931083,2.14856240707967,2.0904613982679114,2.1234048032512267,3.6825269079208374,4.734424781799317,3.719036102294922,3.398570418357849,3.235796006520589,3.3248072306315106,0.013968851900814722,0.011079538543708623,0.012505090679042041,0.01380792479418839,0.015401536536713441,0.017050168950421114,3.264110099585733,0.6733333333333333,1.0,0.0,0.0,1978.0507203489542,606
vision_world_model,test_geometry_ood,0,20351012,geometry_ood_012,30,0.8599089322177073,0.8279061467076342,0.82291819004135,0.8294412297817568,0.8954893826403552,0.9237897119174401,1.7917856748898824,1.7446550528208415,1.7078048944473267,1.6794400930404663,1.8824874361356099,1.9445408980051677,0.005544472887025525,0.003532784994846831,0.0044957627464706695,0.005450378509704023,0.006561450318743786,0.007681987865362316,1.3138380198494384,0.6333333333333333,1.0,1.0,1.0,748.8876713141799,570
vision_world_model,test_geometry_ood,0,20351013,geometry_ood_013,30,1.2083291443871955,1.1148260338956284,1.1843845606988503,1.2425881246829198,1.2309535417084894,1.26889346095009,1.2024187858899433,1.0319795489311219,1.1216810703277589,1.2301777680714925,1.2541654109954834,1.3740901311238607,0.013207214811506371,0.011242271959781646,0.01261325916275382,0.013247922819573432,0.014108829681451123,0.014823790433971832,1.794830450102066,0.6666666666666666,1.0,1.0,1.0,1076.8982700612396,600
vision_world_model,test_geometry_ood,0,20351014,geometry_ood_014,30,1.3038343831524253,1.261102032268213,1.369187307337092,1.3208189981886083,1.300845533816351,1.2672180441518626,3.2335819546381632,3.089800786972046,3.362784226735433,3.279702321688334,3.245558023452759,3.1900644143422445,0.0029392350488342345,0.002681237579478572,0.0023610464568870762,0.0026344955860016245,0.0031979772572716075,0.003821418364532292,1.9489117779891298,0.66,1.0,1.0,1.0,1157.6535961255431,594
